distance_cm,voltage_v
10,2.8660185637518314
20,2.475886663409868
30,1.935505617977528
40,1.4773424523693208
50,1.193287738153395
60,0.9746849047386419
70,0.8257254518808012
80,0.702237420615535
90,0.6329164631167563
100,0.5423155837811431
110,0.5120078163165608
120,0.44204201270151416
130,0.39045432340009767
140,0.34080117244748415
150,0.3037225207620907
